,count,mean,std,min,25%,50%,75%,max,Dataset
TotalSteps,940.0,7637.9106382978725,5087.150741753411,0.0,3789.75,7405.5,10727.0,36019.0,"Daily Activity (N=940, 33 users)"
TotalDistance,940.0,5.489702121915415,3.924605908624871,0.0,2.61999988555908,5.24499988555908,7.71249997615814,28.0300006866455,"Daily Activity (N=940, 33 users)"
VeryActiveMinutes,940.0,21.164893617021278,32.84480305692357,0.0,0.0,4.0,32.0,210.0,"Daily Activity (N=940, 33 users)"
FairlyActiveMinutes,940.0,13.564893617021276,19.987403953867588,0.0,0.0,6.0,19.0,143.0,"Daily Activity (N=940, 33 users)"
LightlyActiveMinutes,940.0,192.8127659574468,109.17469975147063,0.0,127.0,199.0,264.0,518.0,"Daily Activity (N=940, 33 users)"
SedentaryMinutes,940.0,991.2106382978724,301.2674367904797,0.0,729.75,1057.5,1229.5,1440.0,"Daily Activity (N=940, 33 users)"
TotalActiveMinutes,940.0,227.54255319148936,121.77630681221414,0.0,146.75,247.0,317.25,552.0,"Daily Activity (N=940, 33 users)"
Calories,940.0,2303.609574468085,718.1668621342559,0.0,1828.5,2134.0,2793.25,4900.0,"Daily Activity (N=940, 33 users)"
TotalSleepRecords,410.0,1.1195121951219513,0.34663560215622863,1.0,1.0,1.0,1.0,3.0,"Sleep Logs (N=410, 24 users)"
TotalMinutesAsleep,410.0,419.17317073170733,118.63591758410318,58.0,361.0,432.5,490.0,796.0,"Sleep Logs (N=410, 24 users)"
TotalTimeInBed,410.0,458.4829268292683,127.45513981879802,61.0,403.75,463.0,526.0,961.0,"Sleep Logs (N=410, 24 users)"
TimeAwakeInBed,410.0,39.30975609756098,46.710931820395196,0.0,17.0,25.5,40.0,371.0,"Sleep Logs (N=410, 24 users)"
SleepEfficiency,410.0,91.64667080104189,8.728386470500043,49.8360655737705,91.18115595452706,94.26385708997682,96.06416437655217,100.0,"Sleep Logs (N=410, 24 users)"
