weekday,rider_type,rides,total_minutes,average_ride_minutes
Monday,casual,238943,4767173.0061,19.9510887789138
Monday,member,514828,5925892.249966667,11.510431153640958
Tuesday,casual,217350,3912820.0307166665,18.002392595889884
Tuesday,member,541598,6251166.0923833335,11.542077504686748
Wednesday,casual,229145,4057658.3408500003,17.707819681206225
Wednesday,member,542103,6265468.960083333,11.557709439134875
Thursday,casual,253722,4643764.558683333,18.30256957884351
Thursday,member,544099,6323740.647383333,11.622408141502435
Friday,casual,309339,6246256.515566667,20.19226969624479
Friday,member,512287,6112818.585083334,11.93241012378478
Saturday,casual,410866,9633838.682033334,23.447641523108103
Saturday,member,450701,5987074.48175,13.283916569410763
Sunday,casual,323046,7632734.898066667,23.62739330642282
Sunday,member,377542,4989125.091033333,13.214755155806063
