hour,rider_type,rides,total_minutes,average_ride_minutes
0,casual,34565,610812.0139166666,17.67140210955205
0,member,30805,348208.4205333333,11.303633193745604
1,casual,22505,400028.90808333334,17.775112556468933
1,member,19146,222092.22149999999,11.599928000626761
2,casual,14127,240321.61490000002,17.011510929425924
2,member,10874,125169.17343333333,11.510867521917724
3,casual,7897,135320.60421666666,17.13569763412266
3,member,7493,88340.00183333333,11.78967060367454
4,casual,6407,95423.88378333334,14.89369186566776
4,member,8397,93454.4917,11.12950955103013
5,casual,11546,157287.50945,13.62268399878746
5,member,33010,350736.97535,10.625173442896093
6,casual,27496,368500.256,13.401958684899622
6,member,97357,1053596.3450833333,10.821988609790084
7,casual,50802,714807.9141333334,14.070467976326393
7,member,191179,2122516.1078333333,11.10224505742437
8,casual,72107,1100824.0153333333,15.266534668386333
8,member,246681,2734578.1650833334,11.085483539807822
9,casual,71754,1485706.8981,20.705562032778662
9,member,165481,1827778.2258333333,11.045245229563111
10,casual,86675,2140219.3509166664,24.692464389001056
10,member,143741,1725835.89435,12.006566632693525
11,casual,110206,2772452.0304666664,25.156997173172662
11,member,167642,2016302.8927333334,12.027432819540053
12,casual,129451,3134946.3082,24.21724288109014
12,member,189932,2211102.102133333,11.64154593293038
13,casual,133962,3232785.267666667,24.132106624764237
13,member,187054,2205197.0382333333,11.789093193587592
14,casual,140019,3314258.7706833333,23.670064567546785
14,member,189172,2335157.8472666666,12.344098742238105
15,casual,155270,3457639.355316667,22.268560284128725
15,member,235409,2927745.4961666665,12.436846068615331
16,casual,175020,3594635.677533333,20.53842805127033
16,member,326010,4106707.19725,12.596874934051103
17,casual,187956,3720954.4377,19.79694416618783
17,member,370688,4799201.19185,12.946740093690652
18,casual,160468,3115594.9482166665,19.415677569463483
18,member,288405,3602485.7128,12.491065386522424
19,casual,118405,2268912.939033333,19.16230682009487
19,member,200096,2447947.599433333,12.233865741610693
20,casual,85853,1593010.9937666666,18.55509992390093
20,member,138815,1681348.7072833334,12.112154358558755
21,casual,72415,1318945.5437166668,18.21370632764851
21,member,108127,1291325.5188333334,11.94267406691514
22,casual,62569,1116989.8693833333,17.8521291595412
22,member,78389,943651.8986333334,12.03806527233838
23,casual,44936,803866.9214999999,17.889151715773544
23,member,49255,594806.8825333334,12.076071110208778
