month,rider_type,rides,total_minutes,average_ride_minutes
2024-06,casual,123,26446.967933333333,215.01599945799458
2024-06,member,56,4176.430133333333,74.57910952380952
2024-07,casual,309487,7424478.07075,23.989628225902866
2024-07,member,421890,5659069.53115,13.41361381201261
2024-08,casual,307571,6926991.452783333,22.52160136288315
2024-08,member,430290,5636853.04785,13.100125607962072
2024-09,casual,334223,6441017.350283333,19.27161610745919
2024-09,member,465614,5646621.662766667,12.127259194883889
2024-10,casual,210224,4256959.0391833335,20.249633910416193
2024-10,member,394666,4664529.493033334,11.818929152836407
2024-11,casual,90590,1483280.0976166667,16.37355224215329
2024-11,member,238773,2609239.0822333335,10.927697362069134
2024-12,casual,37360,516948.0281666667,13.836938655424698
2024-12,member,137570,1459690.3012333333,10.610527740301906
2025-01,casual,23405,280235.3985333333,11.973313331909136
2025-01,member,112331,1121007.5138833334,9.979502665188893
2025-02,casual,27003,334330.3696,12.381230589193793
2025-02,member,122097,1215823.1205166667,9.957845979153188
2025-03,casual,82864,1482053.0061666667,17.885366457890843
2025-03,member,208458,2319955.1567833335,11.12912508410967
2025-04,casual,105260,1963691.8188166667,18.655631947716767
2025-04,member,257921,2907671.9778,11.273498388266175
2025-05,casual,175655,3659200.598683333,20.83174745201294
2025-05,member,313996,3736594.8296666667,11.90013512804834
2025-06,casual,278646,6098613.8335,21.88660104038816
2025-06,member,379496,4874053.960633333,12.843492317793423
